use_time,questionaire_score,rt_difference,one_week,one_month,six_months,k_one_week,k_one_month,k_six_months,k_aver,file
6.0,43.0,0.2289,35.94,114.06,1.56,-3.28,-0.43,-0.17,-1.29,zhangyihao_2021_May_27_1957.csv
6.0,47.0,0.1679,198.44,198.44,198.44,-0.03,-0.01,-0.0,-0.01,_2021_May_27_1927.csv
